1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
1.000000 0.000000 2.500000
